#
# This is a simple demo CSV file.
# It contains a table of data, in comma-separated-value format.
# You can also use tab-separated values.
#
# This table contains a text column header.
# The column labels can be anything.
# If the header is absent, default labels will be generated.
#
b1, b2, b3, flt1, flt2, lbl

# Now for some data. Three columns of binary numbers,
# Two floats, and one column of strings.
   0, 0, 1, 3.3, 4.4, "one"
   0, 0, 1, 4.4, 5.5, "one"
   0, 1, 1, 3.4, 6.5, "three"
   1, 0, 1, 2.4, 7.5, "five"

# T and F are maybe better for binary ...
   T, F, T, 4, 9, "five"
   T, T, F, 5, 11, "six"
   T, T, T, 2, 8.9, "seven"
